fecha;finca;variedad;lote ;planta;no.flo;hora;hora(unidad);temp;no.flo.vis;t.v(floVis/noFlo);S;S(pla);S(12m2);a.mellifera(fv);a.mellifera;apis.negra(fv);apis.negra(pla);apis.sp1(fv);apis.sp1(pla);a.verde(fv);a.verde;abe.Peq(fv);picaflor(fv);picaflor(12m2);picaflor.S(12m2);chloro(12m2);saphoo(12m2);amazillia(12m2);michrostilbon(12m2);elefante(fv);elefante;mosquito;syrphidae(fv);syrphidae.S;syrphidae(pla);SyrGra-G;syrphidae tigrePE;syrphi apis;syrphi gordo;syrPe;syrPe(pla);syrGra;syrGra(pla);abejorro(fv);abejorro(12m2);abejorro.S(12m2);b.atratusPe(12m2);b.atratusGra(12m2);bombusSP1(12m2);mariposa(fv);mariposa;mariposa.S;monarca;lunares;mariposa1;coleoptero
43673;sta.lu;sj;l5;sj5-5;56;13,24;0,551666667;15;13;0,232142857;1;1;2;13;7;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43673;sta.lu;sj;l5;sj5-6;43;13,35;0,55625;14;14;0,325581395;1;1;1;14;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43673;sta.lu;sj;l5;sj5-7;43;13,43;0,559583333;14;3;0,069767442;1;1;2;3;3;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l4;sj4-1;51;11,4;0,475;14;7;0,137254902;1;1;1;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l4;sj4-2;51;11,12;0,463333333;14;19;0,37254902;1;1;1;14;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l4;sj4-3;49;10,46;0,435833333;14;1;0,020408163;1;1;4;1;1;0;0;0;0;0;0;0;0;4;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l4;sj4-4;52;10,57;0,440416667;14;5;0,096153846;1;1;2;5;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l4;sj4-5;48;10,21;0,425416667;13;1;0,020833333;1;1;3;1;1;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l4;sj4-6;43;10,28;0,428333333;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l4;sj4-7;60;10,32;0,43;13;4;0,066666667;1;1;3;4;2;0;0;0;0;0;0;0;0;5;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l1;sj1-1;40;11,35;0,472916667;14;7;0,175;1;1;1;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l1;sj1-2;42;11,42;0,475833333;14;8;0,19047619;1;1;1;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l1;sj1-3;35;11,52;0,48;14;5;0,142857143;1;1;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l1;sj1-4;40;12,02;0,500833333;15;5;0,125;1;1;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l1;sj1-5;36;12,2;0,508333333;15;12;0,333333333;2;2;2;9;6;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l1;sj1-6;55;12,29;0,512083333;15;15;0,272727273;1;1;1;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l1;sj1-7;51;12,37;0,515416667;15;2;0,039215686;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l2;sj2-1;51;13,04;0,543333333;15;2;0,039215686;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l2;sj2-2;59;13,12;0,546666667;15;16;0,271186441;1;1;1;16;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l2;sj2-3;32;13,23;0,55125;15;11;0,34375;1;1;2;11;10;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l2;sj2-4;50;13,3;0,554166667;15;10;0,2;1;1;1;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l2;sj2-5;52;13,41;0,55875;15;6;0,115384615;1;1;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l2;sj2-6;53;13,5;0,5625;16;7;0,132075472;1;1;1;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l2;sj2-7;36;13,57;0,565416667;16;9;0,25;1;1;1;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l3;sj3-1;49;14,16;0,59;16;11;0,224489796;1;1;1;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l3;sj3-2;45;14,23;0,592916667;16;2;0,044444444;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l3;sj3-3;33;14,32;0,596666667;16;7;0,212121212;1;2;2;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l3;sj3-4;44;14,54;0,605833333;16;5;0,113636364;1;2;2;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l3;sj3-5;47;14,46;0,6025;16;6;0,127659574;1;1;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l3;sj3-6;35;15,04;0,626666667;16;5;0,142857143;1;1;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43674;sta.lu;sj;l3;sj3-7;37;15,12;0,63;16;5;0,135135135;1;1;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l6;pril6-1;78;10,23;0,42625;15;2;0,025641026;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l6;pril6-2;50;10,32;0,43;15;7;0,14;1;1;1;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l6;pril6-3;91;10,41;0,43375;15;16;0,175824176;1;2;3;16;8;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l6;pril6-4;52;10,49;0,437083333;16;10;0,192307692;1;1;1;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l6;pril6-5;55;10,59;0,44125;17;10;0,181818182;1;2;3;10;5;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l6;pril6-6;53;11,06;0,460833333;17;3;0,056603774;1;1;2;3;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l6;pril6-7;69;11,14;0,464166667;17;8;0,115942029;1;1;1;8;3;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l5;pril5-1;59;12,21;0,50875;19;4;0,06779661;1;2;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
43677;tda;pri;l5;pril5-2;71;12,31;0,512916667;19;13;0,183098592;1;1;2;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
43677;tda;pri;l5;pril5-3;50;12,41;0,517083333;19;16;0,32;1;1;1;16;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l5;pril5-4;63;12,01;0,500416667;19;14;0,222222222;1;1;1;14;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l5;pril5-5;46;12,11;0,504583333;19;1;0,02173913;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l5;pril5-6;51;11,38;0,474166667;18;13;0,254901961;1;1;1;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l5;pril5-7;71;11,47;0,477916667;18;11;0,154929577;1;3;3;11;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
43677;tda;pri;l4;pril4-1;74;13,41;0,55875;20;13;0,175675676;1;1;1;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43677;tda;pri;l4;pril4-2;103;13,5;0,5625;20;11;0,106796117;1;1;3;13;3;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
43677;tda;pri;l4;pril4-3;68;14,01;0,58375;20;9;0,132352941;2;2;2;3;2;0;0;0;0;0;0;0;6;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
