finca;variedad;lote;planta;diamF
tda;sj;l5;sj5-2;20,3
tda;sj;l5;sj5-2;14,1
tda;sj;l5;sj5-2;17
tda;sj;l5;sj5-2;16,65
tda;sj;l5;sj5-2;16,6
tda;sj;l5;sj5-2;16,5
tda;sj;l5;sj5-2;17,45
tda;sj;l5;sj5-2;16,9
tda;sj;l5;sj5-2;20,6
tda;sj;l5;sj5-2;16,7
tda;sj;l5;sj5-1;19,25
tda;sj;l5;sj5-1;17,8
tda;sj;l5;sj5-1;16,5
tda;sj;l5;sj5-1;18,95
tda;sj;l5;sj5-1;16,9
tda;sj;l5;sj5-1;15,3
tda;sj;l5;sj5-1;17,2
tda;sj;l5;sj5-1;17,8
tda;sj;l5;sj5-1;15,7
tda;sj;l5;sj5-1;16,95
tda;sj;l5;sj5-1;18,1
citro;sj;l3;sj3-5;22,85
citro;sj;l3;sj3-5;18,55
citro;sj;l3;sj3-5;17,6
citro;sj;l3;sj3-5;22,2
citro;sj;l3;sj3-5;17,1
citro;sj;l3;sj3-5;19,05
citro;sj;l3;sj3-5;19,6
citro;sj;l3;sj3-5;19,9
citro;sj;l3;sj3-5;17,95
citro;sj;l3;sj3-5;17,8
citro;sj;l3;sj3-5;17,95
citro;sj;l3;sj3-5;16,9
citro;sj;l3;sj3-6;21,6
citro;sj;l3;sj3-6;15,9
citro;sj;l3;sj3-6;18,65
citro;sj;l3;sj3-6;19,2
citro;sj;l3;sj3-6;14,2
citro;sj;l3;sj3-6;16,4
citro;sj;l3;sj3-6;17,95
citro;sj;l3;sj3-6;17,8
citro;sj;l3;sj3-6;17,4
citro;sj;l3;sj3-6;18,7
citro;sj;l3;sj3-6;18,7
citro;sj;l3;sj3-6;15,75
citro;sj;l3;sj3-6;18,6
citro;sj;l3;sj3-7;17,9
citro;sj;l3;sj3-7;18,05
citro;sj;l3;sj3-7;19,6
citro;sj;l3;sj3-7;17,55
citro;sj;l3;sj3-7;18,3
citro;sj;l3;sj3-7;18,25
citro;sj;l3;sj3-7;19,6
citro;sj;l3;sj3-7;18,2
citro;sj;l3;sj3-7;17,5
citro;sj;l3;sj3-7;15
citro;sj;l3;sj3-7;17,8
citro;sj;l3;sj3-4;18,3
citro;sj;l3;sj3-4;19,7
