finca;variedad;lote;planta;diamF
tda;sj;l2;sj2-7;14,75
tda;sj;l2;sj2-7;15,85
tda;sj;l2;sj2-7;16,15
tda;sj;l2;sj2-7;17,05
tda;sj;l2;sj2-7;15,9
tda;sj;l2;sj2-7;15,5
tda;sj;l2;sj2-7;16,55
tda;sj;l2;sj2-7;16,1
tda;sj;l2;sj2-7;15,25
tda;sj;l2;sj2-7;16
tda;sj;l2;sj2-6;17,8
tda;sj;l2;sj2-6;21,1
tda;sj;l2;sj2-6;17,15
tda;sj;l2;sj2-6;16,45
tda;sj;l2;sj2-6;21,45
tda;sj;l2;sj2-6;17
tda;sj;l2;sj2-6;18,95
tda;sj;l2;sj2-6;15,3
tda;sj;l2;sj2-6;16,7
tda;sj;l2;sj2-6;16,8
tda;sj;l2;sj2-6;17,65
tda;sj;l2;sj2-6;14,6
tda;sj;l2;sj2-6;17,9
tda;sj;l2;sj2-6;17,9
tda;sj;l2;sj2-6;16,3
tda;sj;l2;sj2-6;17,6
tda;sj;l2;sj2-6;17,45
tda;sj;l2;sj2-6;15,65
tda;sj;l2;sj2-5;16,95
tda;sj;l2;sj2-5;14,8
tda;sj;l2;sj2-5;15,7
tda;sj;l2;sj2-5;17,6
tda;sj;l2;sj2-5;14,95
tda;sj;l2;sj2-5;15,55
tda;sj;l2;sj2-5;15,75
tda;sj;l2;sj2-5;16,15
tda;sj;l2;sj2-5;16,2
tda;sj;l2;sj2-5;17,15
tda;sj;l2;sj2-5;17,25
tda;sj;l2;sj2-5;17
tda;sj;l2;sj2-5;16,4
tda;sj;l2;sj2-5;16,05
tda;sj;l2;sj2-5;15,5
tda;sj;l2;sj2-5;16,1
tda;sj;l2;sj2-5;15,8
tda;sj;l2;sj2-5;16,2
tda;sj;l2;sj2-5;16,15
tda;sj;l2;sj2-5;15,45
tda;sj;l2;sj2-5;15
tda;sj;l2;sj2-5;14,35
tda;sj;l2;sj2-3;17,65
tda;sj;l2;sj2-3;16,2
tda;sj;l2;sj2-3;15,05
tda;sj;l2;sj2-3;17,1
tda;sj;l2;sj2-3;14,4
tda;sj;l2;sj2-3;17,35
tda;sj;l2;sj2-3;16,4
tda;sj;l2;sj2-3;14,9
tda;sj;l2;sj2-3;16,5
tda;sj;l2;sj2-3;18,4
tda;sj;l2;sj2-3;19,65
tda;sj;l2;sj2-3;15,45
tda;sj;l2;sj2-3;15,15
tda;sj;l2;sj2-3;15,15
tda;sj;l2;sj2-3;15,5
tda;sj;l2;sj2-3;17,85
tda;sj;l2;sj2-3;16,7
tda;sj;l2;sj2-3;15,25
tda;sj;l2;sj2-3;16,6
tda;sj;l2;sj2-3;15,85
tda;sj;l2;sj2-3;18
tda;sj;l2;sj2-3;17,6
tda;sj;l2;sj2-3;15,8
tda;sj;l2;sj2-4;17,15
tda;sj;l2;sj2-4;16,5
tda;sj;l2;sj2-4;16,1
tda;sj;l2;sj2-4;15,2
tda;sj;l2;sj2-4;15,9
tda;sj;l2;sj2-4;16,25
tda;sj;l2;sj2-4;14,4
tda;sj;l2;sj2-4;16,95
tda;sj;l2;sj2-4;16,7
tda;sj;l2;sj2-4;16,1
tda;sj;l2;sj2-4;15,45
tda;sj;l2;sj2-4;18,7
tda;sj;l2;sj2-4;17,35
tda;sj;l2;sj2-4;15,15
tda;sj;l2;sj2-4;16,55
tda;sj;l2;sj2-4;16,25
tda;sj;l2;sj2-4;15,95
tda;sj;l2;sj2-4;15,2
tda;sj;l2;sj2-4;15,55
tda;sj;l2;sj2-4;15,4
tda;sj;l2;sj2-2;15,6
tda;sj;l2;sj2-2;17,4
tda;sj;l2;sj2-2;17,15
tda;sj;l2;sj2-2;15,7
tda;sj;l2;sj2-2;16,1
tda;sj;l2;sj2-2;15,4
tda;sj;l2;sj2-2;18,4
tda;sj;l2;sj2-2;16,75
tda;sj;l2;sj2-2;15,7
tda;sj;l2;sj2-2;15,6
tda;sj;l2;sj2-2;16,8
tda;sj;l2;sj2-2;16,35
tda;sj;l2;sj2-2;15,6
tda;sj;l2;sj2-2;14,1
tda;sj;l2;sj2-2;15,7
tda;sj;l2;sj2-2;15,6
tda;sj;l2;sj2-2;15,45
tda;sj;l2;sj2-2;14,35
tda;sj;l2;sj2-2;14,1
tda;sj;l2;sj2-2;14,75
tda;sj;l2;sj2-1;14,9
tda;sj;l2;sj2-1;16,4
tda;sj;l2;sj2-1;14,35
tda;sj;l2;sj2-1;17,65
tda;sj;l2;sj2-1;16,55
tda;sj;l2;sj2-1;16,55
tda;sj;l2;sj2-1;14,6
tda;sj;l2;sj2-1;16,4
tda;sj;l2;sj2-1;17,45
tda;sj;l2;sj2-1;15,65
tda;sj;l2;sj2-1;17,55
tda;sj;l2;sj2-1;15,5
tda;sj;l2;sj2-1;16,45
tda;sj;l2;sj2-1;15,5
tda;sj;l2;sj2-1;17,8
tda;sj;l2;sj2-1;16,5
tda;sj;l2;sj2-1;14,75
sta.lu;sj;l4;sj4-2;12,2
sta.lu;sj;l4;sj4-2;12,1
sta.lu;sj;l4;sj4-2;12,2
sta.lu;sj;l4;sj4-2;12,55
sta.lu;sj;l4;sj4-2;13,15
sta.lu;sj;l4;sj4-2;12,4
sta.lu;sj;l4;sj4-2;11,8
sta.lu;sj;l4;sj4-2;12,75
sta.lu;sj;l4;sj4-2;11,95
sta.lu;sj;l4;sj4-2;10,1
sta.lu;sj;l4;sj4-1;13,3
sta.lu;sj;l4;sj4-1;12,8
sta.lu;sj;l4;sj4-1;12,6
sta.lu;sj;l4;sj4-1;12,15
sta.lu;sj;l4;sj4-1;12,6
sta.lu;sj;l4;sj4-1;12,4
sta.lu;sj;l4;sj4-1;12
sta.lu;sj;l4;sj4-1;13,15
sta.lu;sj;l4;sj4-1;12,5
sta.lu;sj;l4;sj4-1;10,95
sta.lu;sj;l4;sj4-4;16
sta.lu;sj;l4;sj4-4;17,2
sta.lu;sj;l4;sj4-4;17
sta.lu;sj;l4;sj4-4;18,1
sta.lu;sj;l4;sj4-4;13,8
sta.lu;sj;l4;sj4-4;16,4
sta.lu;sj;l4;sj4-4;14,35
sta.lu;sj;l4;sj4-4;17,35
sta.lu;sj;l4;sj4-4;16,35
sta.lu;sj;l4;sj4-4;15,9
sta.lu;sj;l4;sj4-4;15,15
sta.lu;sj;l4;sj4-3;15,2
sta.lu;sj;l4;sj4-3;15,8
sta.lu;sj;l4;sj4-3;15,25
sta.lu;sj;l4;sj4-3;16,3
sta.lu;sj;l4;sj4-3;15,5
sta.lu;sj;l4;sj4-3;15,4
sta.lu;sj;l4;sj4-3;15,4
sta.lu;sj;l4;sj4-3;15,8
sta.lu;sj;l4;sj4-3;14,5
sta.lu;sj;l4;sj4-3;15,6
sta.lu;sj;l4;sj4-3;15,25
sta.lu;sj;l4;sj4-7;17,7
sta.lu;sj;l4;sj4-7;15,5
sta.lu;sj;l4;sj4-7;16,8
sta.lu;sj;l4;sj4-7;15,5
sta.lu;sj;l4;sj4-7;15,8
sta.lu;sj;l4;sj4-7;16,85
